Merge branch 'roller/chromium/master'
Merge branch 'master' into roller/chromium/master
Merge pull request #247 from electron-userland/update-typescript-definition
Merge pull request #295 from electron/chrome-58-0-3029-110
Merge pull request #9415 from electron/no-more-tslint
Merge pull request #13 from tsekityam/patch-1
Merge pull request #294 from electron/updgrade-to-58-0-3029-96
Merge pull request #9292 from 22222/issue8911
Merge pull request #9408 from Hum4n01d/patch-1
Merge remote-tracking branch 'ups/master'
Merge pull request #9388 from electron/use-tslint-config
Merge pull request #9400 from brianzelip/patch-1
Merge pull request #9381 from electron/cpu-usage-fix
Merge pull request #209 from electron-userland/bundle-typescript-declaration-file
Merge pull request #9385 from LestaD/patch-1
Merge pull request #7857 from electron/publish-electron.d.ts
Merge pull request #9383 from johangp/patch-1
Merge pull request #8998 from electron/felix-notification-docs
Merge pull request #9373 from electron/process-metrics
Merge pull request #9333 from electron/process-memory-info-sandbox
Merge pull request #9315 from electron/segmented-control-mode
Merge pull request #9338 from mcizol/master
Merge pull request #9214 from electron/app-memoryinfo
Merge pull request #9348 from tsekityam/patch-1
Merge pull request #9344 from rafbm/patch-1
Merge pull request #9242 from shiftkey/certificate-addition-windows
Merge pull request #294 from electron/updgrade-to-58-0-3029-96
Merge remote-tracking branch 'origin/master' into chrome58
Merge pull request #9353 from kainjow/patch-1
Merge pull request #288 from electron/chrome58
Merge branch 'master' into felix-notification-docs
Merge pull request #9322 from electron/debugger-json-crash
Merge pull request #9301 from electron/post-message-origin-check
Merge pull request #9113 from electron/window_close_patch
Merge pull request #12 from brenca/add-high-memory-option
Merge pull request #9314 from electron/fix-windowopen-memory-leak
Merge branch 'native-window-open' of github.com:seanchas116/electron into native-window-open
Merge pull request #9310 from neilstuartcraig/patch-1
Merge branch 'master' into certificate-addition-windows
Merge branch 'master' into native-window-open
Merge pull request #9299 from electron/menu-item-doc-typos
Merge pull request #9290 from electron/coerce-history-go-offset-to-number
Merge pull request #9289 from electron/dont-allow-webpreferences-option-setting
Merge pull request #9287 from electron/store-frames-to-guest-as-map
Merge pull request #9286 from electron/to-string-renderer-errors
Merge pull request #9278 from electron/dont-override-argument-value
Merge pull request #9250 from electron/inherit-javascript-option
Merge pull request #9279 from electron/extract-default-app-script
Merge pull request #9254 from electron/endsession-event
Merge pull request #9255 from electron/emit-auto-updater-error
Merge pull request #9253 from electron/log-crashes-during-specs
Merge pull request #9252 from electron/convert-to-string-in-render-process
Merge pull request #9249 from electron/document-write
Merge pull request #9246 from rreimann/master
Merge pull request #9273 from electron/update_notification_docs
Merge pull request #9262 from ArcticZeroo/patch-1
Merge remote-tracking branch 'electron/master' into certificate-addition-windows
Merge pull request #8996 from swashcap/master
Merge pull request #9239 from pfrazee/patch-1
Merge pull request #9248 from electron/stream-test-output-on-windows
Merge pull request #9241 from electron/doc-symstore
Merge pull request #9237 from electron/root-modules-describe
Merge pull request #9238 from electron/wait-for-stdout-close
Merge pull request #9095 from seanchas116/better-path-resolve
Merge pull request #9108 from yuya-oc/add-macos-sheet-events
Merge pull request #9227 from electron/specs-on-new-ci-machines
Merge pull request #9211 from sindresorhus/patch-1
Merge pull request #9194 from electron/external/cookie-flushstore-api
Merge pull request #9208 from electron/touchbar-button-icon-pos
Merge pull request #9195 from mcizol/master
Merge pull request #9185 from sauber92/patch-2
Merge pull request #9180 from runinspring/patch-1
Merge branch 'master' into native-window-open
Merge pull request #9219 from electron/update-libcc-dpi-scaling
Merge pull request #9213 from electron/fix-autohide-menubar-layout
Merge pull request #9204 from electron/upgrade-brightray-wmstate
Merge pull request #289 from poiru/windows-wm-state
Merge pull request #9187 from electron/mac-messagebox-warning-icon
Merge pull request #9167 from electron/frameless-overflow3
Merge pull request #9166 from electron/browserview
Merge pull request #9168 from electron/win-7-notifications
Merge pull request #8786 from electron/per-monitor-dpi-aware
Merge pull request #9148 from electron/share-render-frame-observer-with-sandbox
Merge pull request #9133 from electron/app-exit-failure
Merge pull request #9134 from electron/scroll-bounce-fix
Merge pull request #9157 from electron/cifratila/remove-unused-dll
Merge pull request #279 from electron/win7_notifications
Merge pull request #9104 from electron/fix-crash-reporter-test
Merge pull request #9158 from mcizol/patch-1
Merge pull request #9155 from Hum4n01d/master
Merge pull request #9154 from miniak/fix-api-docs
Merge pull request #9151 from mcizol/master
Merge pull request #9149 from electron/link-session-docs
Merge pull request #9144 from electron/wait-util-server-closes
Merge pull request #9137 from runinspring/patch-3
Merge pull request #9136 from runinspring/patch-2
Merge pull request #9132 from electron/fork-eval-node-fix
Merge pull request #9117 from electron/fix_debug_checks
Merge pull request #9129 from runinspring/patch-1
Merge pull request #9126 from runinspring/master
Merge pull request #9125 from electron/fix-chrome-upgrade-link
Merge pull request #9124 from TasukuUno/fix-docs
Merge pull request #9111 from electron/deliver-ipc-messages-to-handlers
Merge pull request #9028 from electron/fix-popover-items-not-updating
Merge pull request #9023 from electron/touchbar-set-escape-button
Merge pull request #9101 from electron/wrap-remote-set-as-args
Merge pull request #9099 from electron/certificate-trust
Merge pull request #9072 from p-jackson/patch-1
Merge pull request #9105 from miniak/fix-api-docs
Merge branch 'master' into native-window-open
Merge pull request #8528 from Anatzum/patch-1
Merge pull request #9097 from electron/handle-setter-errors
Merge pull request #9096 from electron/upgrade-brightray-for-cpp-cleanup
Merge pull request #9076 from electron/cleanup-cpp
Merge pull request #287 from electron/no-anonymous-ns-in-header
Merge pull request #286 from electron/cleanup-cpp
Merge pull request #9084 from runinspring/patch-1
Merge pull request #9080 from electron/fixup-docs-5
Merge pull request #9079 from electron/fix-dialog-args
Merge pull request #9074 from electron/tabbing-mode-version-guard
Merge pull request #9053 from electron/enable-crash-reporter-upload-windows
Merge pull request #9057 from electron/upgrade-libcc-for-ffmpeg-linking-fix
Merge pull request #9067 from electron/check-name-param-directly
Merge pull request #9052 from tonyganch/native_tabs
Merge pull request #9066 from electron/segment-style-enum-warnings
Merge pull request #9062 from electron/stringify-headers-in-net-module
Merge pull request #9065 from electron/roles
Merge pull request #8917 from bcomnes/patch-1
Merge pull request #9054 from ColinEberhardt/patch-3
Merge pull request #8880 from mst128256/2814
Merge pull request #9039 from electron/extract-renderer-base-class
Merge pull request #9043 from electron/fix-uv-run-crash
Merge pull request #9007 from electron/net_redirect_patch
Merge pull request #9001 from electron/net_source_stream_error_patch
Merge pull request #9041 from runinspring/master
Merge pull request #8652 from electron/no-api-docs-generation
Merge pull request #283 from electron/devtools_shutdown_patch_revert_revert
Merge pull request #8923 from electron/geolocation_request_context_patch
Merge pull request #9037 from electron/upgrade-libcc-for-webview-drag-fix
Merge pull request #9034 from electron/disable-flaky-appveyor-spec
Merge pull request #8983 from electron/sandbox-initial-documentation
Merge pull request #8956 from electron/expose-crash-reporter-to-sandbox
Merge pull request #8897 from electron/versioning-doc
Merge pull request #8984 from hansenzhang/display-menuitem-label
Merge pull request #285 from electron/cpplint
Merge pull request #9021 from owwo/master
Merge pull request #9024 from runinspring/patch-1
Merge pull request #9006 from electron/fix-thumbnailSize-doc
Merge pull request #9014 from electron/MarshallOfSound-patch-1
Merge pull request #9012 from electron/fixup-docs-4
Merge pull request #9010 from electron/fixup-docs-3
Merge pull request #8988 from electron/chromium-dev-resources
Merge branch 'master' into native-window-open
Merge pull request #8852 from electron/web-worker-hook
Merge pull request #8971 from electron/fix-freeenvironment-crash
Merge pull request #8974 from electron/default-popup-async-value
Merge pull request #8955 from babanesma/feat/new-clean-command
Merge pull request #8878 from TanninOne/patch-1
Merge pull request #8890 from twolfson/dev/proxy.to.string.sqwished
Merge pull request #8962 from feserafim/patch-1
Merge pull request #8954 from electron/mark-touchbar-apis-with-experimental-label
Merge pull request #8942 from electron/read-binary-data-from-clipboard
Merge pull request #8926 from electron/upgrade-libcc-for-heap-snapshot-patch
Merge pull request #8939 from electron/expose-remote-to-sandbox
Merge pull request #282 from electron/revert-278-devtools_shutdown_patch
Merge pull request #281 from electron/upgrade-libcc
Merge pull request #8900 from electron/handle-buffer-instances-in-sandbox
Merge pull request #230 from electron-userland/no-dynamic-path-in-error
Merge pull request #231 from vbez/electron_config_cache
Merge pull request #8910 from electron/touchbar-scrubber
Merge pull request #278 from electron/devtools_shutdown_patch
Merge pull request #8899 from electron/dynamically-generate-browserify-dep-list
Merge pull request #8435 from electron/pdf_rendering
Merge pull request #8924 from electron/update-appveyor-badge
Merge pull request #8907 from electron/plugin_list_patch
Merge pull request #8906 from roramirez/docs-es
Merge pull request #8887 from electron/touchbar-segmneted-control
Merge pull request #8815 from tarruda/improve-sandbox-expose-more-modules
Merge pull request #8882 from electron/list-modules-in-separate-files
Merge pull request #270 from electron/pdf_rendering
Merge pull request #8883 from electron/pass-crash-reporter-upload-parameter
Merge pull request #8864 from electron/zoom_controller_webview_patch
Merge pull request #8858 from electron/native-image-add-representation
Merge pull request #8866 from jkleinsc/master
Merge pull request #8870 from electron/touch-bar-links
Merge pull request #8849 from electron/to-data-url-scale-factor
Merge pull request #8845 from electron/promise-resolve-assignment
Merge pull request #8856 from electron/touch-bar-experimental
Merge pull request #8851 from joaomoreno/joaomoreno-patch-1
Merge pull request #8744 from electron/MarshallOfSound-patch-1
Merge pull request #8799 from nitsakh/baseURLForDataURL
Merge pull request #8724 from electron/defer_load_url
Merge pull request #8678 from liusy182/download-item
Merge pull request #8604 from electron/groundwater-patch-1
Merge pull request #8800 from electron/https-website
Merge pull request #8795 from electron/rename-shortcuts-to-keyboard-shortcuts
Merge pull request #8840 from Yarkhan/patch-1
Merge pull request #8837 from rhysd/fix-touchbar-doc
Merge pull request #8834 from electron/tb-doc-fixups
Merge pull request #8811 from electron/clean-node-on-exit
Merge pull request #8830 from electron/touchbar-label-color
Merge pull request #8095 from electron/touchbar
Merge pull request #8816 from electron/webview-docs-fixes
Merge pull request #8806 from electron/felix-winstore-moved
Merge pull request #8804 from electron/isolated-world-origin
Merge pull request #8801 from tomfloyer/patch-1
Merge pull request #8766 from electron/browser-require-in-renderer-process
Merge pull request #8742 from electron/webview-visibility
Merge pull request #8792 from LasseJacobs/master
Merge pull request #8775 from electron/shortcuts
Merge pull request #8787 from serant/translation-doc-typo
Merge pull request #8783 from thesbros/docs/blink-features-link
Merge pull request #8769 from jwheare/docs-cancel-id
Merge pull request #8746 from electron/clarify-app-activation
Merge pull request #8758 from electron/use-local-buffer
Merge pull request #8733 from electron/macos-cancel-id
Merge pull request #8739 from electron/pepper-context-menu
Merge pull request #8745 from electron/async-web-dialog-helper
Merge pull request #8760 from popod/popod-startDrag-doc
Merge pull request #8702 from electron/async-menu-popup
Merge pull request #8731 from herrmannplatz/patch-1
Merge pull request #8718 from demopark/master
Merge pull request #8717 from gerhardberger/vibrancy-version-fix
Merge pull request #8693 from electron/zoom_specs
Merge pull request #8709 from electron/upgrade-native-mate
Merge pull request #10 from electron/five-argument-member-function
Merge pull request #11 from electron/ci
Merge pull request #8707 from demopark/master
Merge pull request #8704 from YurySolovyov/update-icon-fetch-impl
Merge pull request #8695 from ericbrumer/master
Merge pull request #8696 from demopark/master
Merge pull request #8686 from demopark/master
Merge pull request #8676 from electron/focus-delegate
Merge pull request #8682 from electron/use-electron-version-in-chromedriver-asset-name
Merge pull request #1 from demopark/demopark-patch-1
Merge pull request #8679 from electron/disable-active-tracker
Merge pull request #8684 from electron/compiler-error
Merge pull request #8628 from Spacetech/master
Merge pull request #8648 from electron/set-extra-crash-reporter-data
Merge pull request #8662 from oukan/feature/translate-zh-CN
Merge pull request #8673 from electron/scroll-touch-end
Merge pull request #8605 from electron/no-more-global-buffer
Merge pull request #8654 from electron/context-shutdown-crash
Merge pull request #276 from electron/context-shutdown-crash
Merge pull request #8672 from electron/reorder-compiler-error-in-zoom-controller
Merge pull request #8617 from electron/resolves-aliases-nsopen
Merge pull request #8669 from poppinlp/patch-1
Merge pull request #8660 from fab1an/patch-3
Merge pull request #8659 from fab1an/patch-2
Merge pull request #275 from electron/fix-bootstrap
Merge pull request #8537 from deepak1556/webcontents_zoom_patch
Merge pull request #273 from deepak1556/zoom_pref_patch
Merge pull request #9 from renaesop/master
Merge pull request #8668 from electron/fix-mas
Merge pull request #8540 from electron/SECURITY.md
Merge pull request #8655 from electron/thai-translations
Merge pull request #8651 from electron/new-window-docs
Merge pull request #8650 from electron/will-attach-webview-docs
Merge pull request #8640 from electron/fix-debug-symbols
Merge pull request #8584 from electron/new-webview-event
Merge pull request #8556 from yamgent/macos-open-save-panel
Merge remote-tracking branch 'origin/master' into macos-open-save-panel
Merge pull request #8623 from electron/dialog-options-helper
Merge pull request #8590 from electron/showmessagebox-checkbox
Merge pull request #8636 from electron/update-certificate-verifier-specs-for-linux-ci
Merge pull request #7955 from deepak1556/veto-ssl-verify
Merge pull request #8618 from electron/forward-this-in-require-wrapper
Merge pull request #8626 from dengyaolong/master
Merge pull request #8619 from electron/mac-os-version-checks
Merge pull request #8624 from electron/disable-file-icon-specs-on-linux
Merge pull request #8616 from electron/renew-symbol-trick
Merge pull request #7851 from YurySolovyov/image-from-icon
Merge pull request #8542 from yamgent/webpref-numeric
Merge remote-tracking branch 'upstream/master'
Merge pull request #8607 from electron/fix-win32-link
Merge pull request #8606 from electron/fix-broken-link
Merge pull request #8501 from electron/chrome56
Merge pull request #272 from electron/chrome56
Merge pull request #8515 from electron/auto-launch-squirrel-support
Merge pull request #8509 from electron/upgrading-chrome-doc
Merge pull request #8583 from crowchirp/docs-typo-fixes
Merge pull request #8572 from electron/content-tracing-app-ready
Merge pull request #8570 from electron/force-refresh-menu-role
Merge pull request #8569 from electron/webview-default-node-integration
Merge pull request #8568 from electron/initialize-color-listener-after-app-is-ready
Merge pull request #8566 from electron/prompt-to-create-property
Merge remote-tracking branch 'origin/patch-3' into docs-typo-fixes
Merge remote-tracking branch 'origin/patch-2' into docs-typo-fixes
Merge pull request #8565 from electron/protocol-client-specs
Merge pull request #8561 from liusy182/!-liusy182-br
Merge pull request #8487 from leethomas/feature/osx-relative-window-levels
Merge pull request #8539 from electron/require-wrapper
Merge pull request #8511 from electron/start-drag-crash
Merge pull request #8421 from oukan/feature/translate-zh-CN
Merge pull request #8507 from electron/fix-node-upgrade-patches
Merge pull request #8519 from electron/consolidate-panel-showing
Merge pull request #8510 from electron/empty-image-crashes
Merge pull request #8357 from electron/remote-events-error-message
Merge pull request #8497 from electron/enable-crash-reporter-specs-on-ci
Merge pull request #8478 from deepak1556/load_url_max_char_patch
Merge pull request #8430 from ramya-rao-a/crash-for-children-docs
Merge pull request #8109 from ramya-rao-a/crash-for-children
Merge pull request #8495 from electron/fullscreen-spec
Merge pull request #8496 from electron/upgrade-ffi
Merge pull request #8452 from electron/document-build
Merge pull request #8483 from electron/upgrade-libcc
Merge pull request #8475 from milkit/fix-translation-jp
Merge pull request #8472 from javan/patch-1
Merge pull request #8467 from electron/upgrade-multiparty
Merge pull request #8464 from schwalbe10/translation_jp
Merge pull request #8463 from electron/patch-about-md
Merge pull request #8456 from yuya-oc/docs-security
Merge pull request #8451 from electron/upgrade-clang
Merge pull request #8406 from electron/use_gn-chrome54
Merge pull request #269 from electron/use_gn-chrome54
Merge pull request #8428 from electron/upgrade-libcc-for-webm-muxer-fix
Merge pull request #8441 from watilde/feature/tweak-kiosk
Merge pull request #8437 from electron/set-version-for-electron-api-json
Merge pull request #8438 from electron/restore-thick-frame-fullscreen-handler
Merge pull request #8432 from hrubilov/patch-1
Merge pull request #8365 from destan/patch-3
Merge pull request #8399 from watilde/feature/fixes-8338
Merge pull request #8417 from electron/flaky-travis-specs
Merge pull request #8348 from electron/isolated-world
Merge pull request #8395 from Arcath/patch-1
Merge pull request #8355 from oukan/feature/translate-zh-CN
Merge pull request #8404 from bsclifton/fix-dpi-borders
Merge pull request #8409 from javan/add-context-menu-event-to-webview
Merge pull request #8 from electron/set-read-only
Merge pull request #8390 from electron/upgrade-brightray-for-devtools-fix
Merge pull request #267 from electron/update-ownership
Merge pull request #8401 from czipperz/BrowserProcess_constructor
Merge pull request #8400 from electron/keyboardevent-link
Merge pull request #8381 from electron/lint-without-side-effects
Merge pull request #8391 from electron/read-only-versions
Merge pull request #268 from electron/ci
Merge pull request #8377 from electron/sandbox-open-crash
Merge pull request #266 from deepak1556/devtools_remote_detach_patch
Merge pull request #8380 from electron/auto-submit-rename
Merge pull request #8376 from electron/revert-8354-vibrancy-corner-fix
Merge pull request #8371 from electron/upgrade-brightray-for-emulation-fix
Merge pull request #8354 from gerhardberger/vibrancy-corner-fix
Merge pull request #264 from deepak1556/devtools_net_interceptor_patch
Merge pull request #8370 from electron/resizable-specs
Merge pull request #227 from pzrq/patch-1
Merge pull request #7765 from liusy182/maximize-fix
Merge pull request #8369 from electron/start-executable
Merge pull request #8341 from electron/dialog-manager
Merge pull request #8340 from electron/options-cycle
Merge pull request #8308 from electron/normalize-access-keys
Merge pull request #8343 from oukan/feature/translate-zh-CN
Merge pull request #8258 from deepak1556/net_header_patch
Merge pull request #8347 from Rastaban/master
Merge pull request #8335 from liuderchi/i18n_zhTW_repl
Merge pull request #8326 from nicmitchell/copyright-year
Merge pull request #8319 from oukan/feature/translate-zh-CN
Merge pull request #8318 from oukan/feature/translate-zh-CN
Merge pull request #8313 from oukan/feature/translated-supported-platforms
Merge pull request #8312 from oukan/feature/translated-readme
Merge pull request #8303 from ldehai/master
Merge pull request #8311 from oukan/feature/process-translated
Merge pull request #8309 from electron/optional-before-dash
Merge pull request #8306 from electron/link-to-offscreen-tutorial
Merge pull request #8298 from electron/configure-throttling-on-created-callback
Merge pull request #8250 from gerhardberger/osr-window-size-fix
Merge pull request #8295 from electron/more-default-font-families
Merge pull request #8281 from abouthiroppy/fix-electron-jp-link
Merge pull request #8254 from electron/webcontents-will-navigate-crash
Merge pull request #224 from electron-userland/check-if-path-file-exists
Merge pull request #225 from electron-userland/write-file-after-uncompressing
Merge pull request #8284 from x-yao/zh-cn-docs
Merge branch 'master' of github.com:electron/electron into zh-cn-docs
Merge pull request #8285 from electron/update-glossary
Merge branch 'master' of github.com:electron/electron into zh-cn-docs
Merge pull request #7888 from electron/rename-webview-doc
Merge pull request #8269 from drewchandler/fix-clear-storage-data-docs
Merge pull request #8252 from electron/dialog-window-crash
Merge pull request #8268 from electron/update-production-variables
Merge pull request #8265 from thorbenegberts/patch-1
Merge pull request #8267 from cesarandreu/patch-2
Merge pull request #7878 from electron/glossary
Merge pull request #8078 from electron/dts-docs-update-again
Merge pull request #8207 from philwyett-hemi/rpm_dev
Merge pull request #8249 from electron/nsscreens-crash
Merge pull request #8248 from electron/secure-options
Merge pull request #8259 from mawie81/fix-screen-docs
Merge pull request #8240 from electron/fix-structures-link
Merge pull request #8225 from Golasowski/docs-translations-cz
Merge pull request #8243 from x-yao/zh-cn-docs
Merge pull request #8242 from DustinX/patch-1
Merge pull request #8229 from electron/do-not-recommend-yarn
Merge pull request #8238 from electron/doc-links
Merge pull request #8235 from x-yao/zh-cn-docs
Merge pull request #8134 from deepak1556/empty_client_certificate_patch
Merge pull request #8175 from gerhardberger/createfrombuffer-bitmap
Merge pull request #8143 from poiru/webcontents-before-input-event
Merge pull request #261 from poiru/always-link-dom-keycode-converter
Merge pull request #8201 from electron/docs-lint
Merge pull request #8199 from Casimodo/patch-2
Merge pull request #8192 from rhysd/patch-1
Merge pull request #8189 from electron/undefined-browser-window-in-dialog
Merge pull request #8187 from electron/optional-buttons
Merge pull request #8159 from seanchas116/devtools
Merge pull request #8137 from deepak1556/media_device_id_patch
Merge pull request #262 from deepak1556/media_device_id_patch
Merge pull request #8085 from deepak1556/protocol_http_session_patch
Merge pull request #7 from deepak1556/empty_handle_converter_patch
Merge pull request #7947 from beakerbrowser/register-standard-secure-schemes
Merge pull request #8186 from devjin0617/devjin0617-docs-browser-window-proxy
Merge pull request #8167 from seanchas116/fix-modal-corner
Merge pull request #8156 from sindresorhus/remove-dock-window-level
Merge pull request #8178 from lgeiger/native-modules-prebuild
Merge pull request #8177 from Geo1088/patch-1
Merge pull request #8165 from geoff-addepar/geoff/fix-sandbox-printing
Merge pull request #8176 from electron/upgrade-libcc-for-ct-timebomb-patch
Merge pull request #8107 from deepak1556/clear_auth_cache_patch
Merge pull request #8061 from deepak1556/resume_download_api
Merge pull request #8155 from salomvary/explain-macos-modal-sheet
Merge pull request #8158 from jdfwarrior/master
Merge pull request #8157 from electron/post-data-example
Merge pull request #8152 from electron/dont-show-window
Merge pull request #8144 from electron/from-devtools-webcontents-fix
Merge pull request #8147 from electron/upgrade-libcc-for-linux-keyevent-fix
Merge pull request #8148 from electron/clear-interval-before-done
Merge pull request #8120 from electron/implement-window-methods-in-main-process
Merge pull request #8110 from electron/track-render-view-by-process-id
Merge pull request #8123 from electron/dont-write-back-to-passed-options
Merge pull request #8122 from electron/use-spread-instead-of-apply
Merge pull request #8121 from electron/add-basic-dialog-specs
Merge pull request #8115 from ArisLittle/patch-1
Merge pull request #8105 from electron/ci-build-scripts
Merge pull request #8098 from electron/clean-up-specs
Merge pull request #8084 from poiru/systempreferences-setuserdefault
Merge pull request #8092 from poiru/setcursorautohide
Merge pull request #8086 from deepak1556/devtools_remove_workspace_patch
Merge pull request #8096 from electron/dont-use-skip
Merge pull request #8082 from aaronang/doc-electron-resources
Merge pull request #8072 from ramya-rao-a/doc-update
Merge pull request #7901 from electron/rename-auto-upload
Merge pull request #8038 from electron/danhp/close-file-preview
Merge pull request #7952 from the-ress/window-setappid
Merge branch 'access-url-through-web-contents'
Merge pull request #8049 from electron/prevent-remove-all-ipc
Merge pull request #8024 from pedro/handle-drop-mac-os-fix
Merge pull request #8071 from electron/fix-doc-indentation
Merge pull request #8070 from electron/remove-unnecessary-escape-characters
Merge branch 'check-sender-web-contents-access'
Merge pull request #216 from ivoputzer/master
Merge pull request #8065 from DanTheMan827/patch-1
Merge pull request #8016 from the-ress/windows-lint
Merge pull request #8057 from electron/fixup-docs-for-ts
Merge pull request #7986 from salomvary/fix-before-quit-docs
Merge pull request #8047 from electron/fix-incorrect-window-size
Merge pull request #8056 from electron/mocha-only-check
Merge pull request #8022 from electron/lint-required-and-optional-params
Merge pull request #7992 from electron/process-doc-followup
Merge pull request #8041 from electron/webview-zoom-factor
Merge pull request #8046 from electron/bengotow/url-schemes-docs-patch
Merge pull request #8043 from electron/crash-reporter-docs
Merge pull request #8030 from LuisHsu/master
Merge pull request #8027 from bowbowbow/patch-1
Merge pull request #7993 from electron/get-user-default-crash
Merge pull request #7776 from electron/zoom-to-web-contents-size
Merge pull request #8031 from muryoimpl/fix-broken-link-in-api-dialog
Merge pull request #8009 from deed02392/master
Merge pull request #1 from deed02392/patch-1
Merge pull request #7981 from electron/more-menu-item-roles
Merge pull request #8003 from electron/missing-remote-object-error
Merge pull request #7974 from electron/chrome-runtime-response-callback
Merge branch 'gabriel-master'
Merge pull request #7969 from electron/one-file-per-api
Merge branch 'opener-origin-check'
Merge pull request #7980 from electron/guard-against-missing-members
Merge pull request #7979 from electron/credits-attributed-string
Merge pull request #7978 from electron/memoize-no-asar-env-check
Merge pull request #7989 from electron/pin-electron-docs-linter
Merge pull request #7917 from voidbridge/feature/expose-cert-chain
Merge pull request #7658 from figma/webview-manual-guest-resize
Merge pull request #7982 from kirly-af/kirly-af-tray-example-fix
Merge pull request #211 from electron-userland/mafintosh-patch-1
Merge pull request #7962 from liusy182/disable-accelerator
Merge pull request #7971 from electron/modify-install-docs
Merge pull request #7923 from jhen0409/patch-1
Merge pull request #7972 from electron/macos-10-11-constants
Merge pull request #7967 from veleek/patch-1
Merge pull request #7540 from deepak1556/form_post_new_window_patch
Merge pull request #7958 from jhen0409/patch-2
Merge pull request #7946 from electron/move-footer-links-to-bottom
Merge pull request #7945 from electron/add-process-to-content-tracing-doc
Merge pull request #7884 from electron/optional-things
Merge pull request #7944 from electron/autorelease-effect-view
Merge pull request #7933 from joshaber/patch-1
Merge pull request #7925 from mrxf/patch-5
Merge pull request #7922 from mrxf/patch-4
Merge pull request #7921 from mrxf/patch-3
Merge pull request #7908 from deepak1556/about_scheme_patch
Merge pull request #7906 from electron/upgrade-chrome-53
Merge pull request #202 from nucleardreamer/log-level
Merge pull request #7916 from thompsonemerson/patch-7
Merge pull request #7912 from mrxf/patch-2
Merge pull request #7910 from mrxf/patch-1
Merge pull request #7907 from thompsonemerson/patch-5
Merge pull request #259 from electron/upgrade-chrome-53
Merge pull request #7895 from electron/windows-symbol-server
Merge pull request #7900 from electron/more-license-clarification
Merge pull request #7852 from electron/webview-guestinstance
Merge pull request #7897 from electron/logo-clarification
Merge pull request #7893 from tinydew4/translate-ko
Merge pull request #7863 from electron/coffee-script-webview-cleanup
Merge pull request #7869 from electron/less-browserify-build-time
Merge pull request #7881 from electron/node-headers-url
Merge pull request #7867 from electron/update-issue-template
Merge pull request #7843 from electron/process-docs
Merge pull request #7533 from electron/async-executeJavaScript
Merge pull request #7823 from kanemontreuil/consolidate-gitignore
Merge pull request #7854 from electron/fix-ipc-docs
Merge pull request #7847 from tinydew4/translate-ko
Merge pull request #7846 from thomsonreuters/net-doc-samples
Merge pull request #7837 from electron/lightweight-docs-linter
Merge pull request #7822 from tinydew4/translate-ko
Merge pull request #7821 from electron/lint-net-docs
Merge pull request #7820 from tinydew4/trimming
Merge pull request #7818 from electron/more-net-doc-fixes
Merge pull request #7813 from electron/ready-to-show-spec
Merge pull request #7812 from electron/url-format-in-quick-start
Merge pull request #7788 from electron/notification-crash
Merge pull request #7787 from julianengel/patch-1
Merge pull request #7807 from electron/net-docs-fixup
Merge pull request #7809 from shiftkey/typos-for-net-docs
Merge pull request #7745 from electron/inline-enums
Merge pull request #258 from deepak1556/notification_close_patch
Merge pull request #7766 from liusy182/window-size-restore
Merge pull request #7577 from thomsonreuters/net_module
Merge pull request #7795 from LaurentLeVan/master
Merge pull request #7791 from electron/io-doc-link-fix
Merge pull request #7785 from tinydew4/translate-ko
Merge pull request #7770 from vitaliel/patch-1
Merge pull request #7757 from crilleengvall/master
Merge pull request #7753 from tinydew4/translate-ko
Merge pull request #7750 from bheart/master
Merge pull request #7743 from doraeric/trans-zhtw
Merge pull request #7752 from tinydew4/clean-up
Merge pull request #7741 from electron/shuffle-bw-docs
Merge pull request #7715 from electron/docs-linter-function-param-types
Merge pull request #7719 from electron/find-pasteboard
Merge pull request #7592 from frontapp/master
Merge pull request #7740 from mauriciofauth/pt-br/api/window-open
Merge pull request #7739 from electron/fix-incorrect-types-registerURLSchemeAsPrivileged
Merge pull request #7736 from mauriciofauth/pt-br/readme
Merge pull request #7730 from tinydew4/translate-ko
Merge pull request #7718 from mike-engel/mengel/update-docs
Merge pull request #7717 from electron/doc-lists
Merge pull request #7631 from beakerbrowser/webview-policy-flags2
Merge pull request #7707 from electron/focus-window-on-menu-bar-click
Merge pull request #7651 from deepak1556/session_cert_verifier_patch
Merge pull request #7711 from tinydew4/translate-ko
Merge pull request #7709 from tinydew4/translate-ko
Merge pull request #7710 from electron/web-frame-lint
Merge pull request #7708 from tinydew4/fix-typo
Merge pull request #7665 from beakerbrowser/privilegedschemeopts
Merge pull request #256 from deepak1556/ct_delegate_patch
Merge pull request #7590 from electron/docs-cleanup
Merge pull request #7628 from deepak1556/geo_request_context_patch
Merge pull request #7596 from electron/function-param-types
Merge pull request #7654 from scotttrinh/flash-frame-doc
Merge pull request #7666 from amtj/issue#6939
Merge pull request #7641 from rogerlista/master
Merge pull request #7622 from Haraldson/flash-trust
Merge pull request #7650 from davej/patch-3
Merge pull request #7674 from electron/tweak-releasing-doc
Merge pull request #7660 from electron/document-release-process
Merge pull request #7659 from electron/jacob/ally
Merge pull request #7566 from electron/always-shorten-path
Merge pull request #7578 from electron/windows-logging
Merge pull request #7611 from electron/only-enable-msaa-if-needed
Merge pull request #7614 from tinydew4/translate-ko
Merge pull request #7610 from LShun/patch-1
